-1	int	main	(	)	{	return	0	;	}	‘’	float	Boolean	string	[a-zA-Z]+(a-zA-Z0-9_)*	plus_minus	[0-9]+	[0-9]+.[0-9]+	true	false	string_placeholder	,	if_else	stmt	=	+=	-=	*=	/=	+	-	*	/	++	--	for	while	if	else	>	<	>=	<=	==	!=	comments_placeholder	$	S	func_list	func	type	identifier	integer	float_num	bool_vals	string_vals	elements	param_list	code	decl_stmt	expr_stmt	equals	sign	unary_operator	rhs	for_loop	while_loop	if_else_stmt	conditional	conditional_sign	comments	funct_calls	passed_param
19	-	-	-	-	s22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
20	-	-	-	-	s23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	-	-	-	r20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
22	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	25	27	28	-	-	-	-	29	30	-	-	-	32	33	-
23	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	39	27	28	-	-	-	-	29	30	-	-	-	32	33	-
24	s5	-	-	-	-	-	-	-	-	s17	s6	s7	s8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	-	-	-	-	-	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
25	-	-	-	-	-	s41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
26	-	-	-	-	-	r22	-	-	r22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
27	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	42	27	28	-	-	-	-	29	30	-	-	-	32	33	-
28	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	43	27	28	-	-	-	-	29	30	-	-	-	32	33	-
29	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	44	27	28	-	-	-	-	29	30	-	-	-	32	33	-
30	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	45	27	28	-	-	-	-	29	30	-	-	-	32	33	-
31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s46	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
32	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	47	27	28	-	-	-	-	29	30	-	-	-	32	33	-
33	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	48	27	28	-	-	-	-	29	30	-	-	-	32	33	-
