-1	int	main	(	)	{	return	0	;	}	‘’	float	Boolean	string	[a-zA-Z]+(a-zA-Z0-9_)*	plus_minus	[0-9]+	[0-9]+.[0-9]+	true	false	string_placeholder	,	if_else	stmt	=	+=	-=	*=	/=	+	-	*	/	++	--	for	while	if	else	>	<	>=	<=	==	!=	comments_placeholder	$	S	func_list	func	type	identifier	integer	float_num	bool_vals	string_vals	elements	param_list	code	decl_stmt	expr_stmt	equals	sign	unary_operator	rhs	for_loop	while_loop	if_else_stmt	conditional	conditional_sign	comments	funct_calls	passed_param
80	-	-	-	r48	-	-	-	r48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s86	s87	s88	s89	-	-	-	-	-	-	r48	r48	r48	r48	r48	r48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	102	-	-	-	-	-	-	-	-	-	-
81	-	-	-	r14	-	-	-	r14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r14	r14	r14	r14	-	-	-	-	-	-	r14	r14	r14	r14	r14	r14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
82	-	-	-	-	-	-	-	s103	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
83	-	-	-	-	-	-	-	-	s104	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
84	-	-	-	-	-	-	-	s105	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
85	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	80	-	-	-	-	-	-	-	106	-	-	-	-	-	-	-	-
86	-	-	-	-	-	-	-	-	-	-	-	-	-	r40	r40	-	-	r40	r40	r40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
87	-	-	-	-	-	-	-	-	-	-	-	-	-	r41	r41	-	-	r41	r41	r41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
88	-	-	-	-	-	-	-	-	-	-	-	-	-	r42	r42	-	-	r42	r42	r42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
89	-	-	-	-	-	-	-	-	-	-	-	-	-	r43	r43	-	-	r43	r43	r43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
90	-	-	-	-	-	-	-	-	-	s108	-	-	-	s12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	107
91	r9	-	-	r9	-	-	-	r9	-	r9	r9	r9	r9	r9	-	-	-	-	-	-	-	r9	-	-	-	-	-	-	r9	r9	r9	r9	-	-	r9	r9	-	-	r9	r9	r9	r9	r9	r9	r9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
92	r10	-	-	r10	-	-	-	r10	-	r10	r10	r10	r10	r10	-	-	-	-	-	-	-	r10	-	-	-	-	-	-	r10	r10	r10	r10	-	-	r10	r10	-	-	r10	r10	r10	r10	r10	r10	r10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
93	-	-	-	-	-	-	-	s110	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
94	-	-	-	-	s111	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
95	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	80	-	-	-	-	-	-	-	112	-	-	-	-	-	-	-	-
96	-	-	-	-	-	-	-	-	-	-	-	-	-	r54	r54	-	-	r54	r54	r54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
97	-	-	-	-	-	-	-	-	-	-	-	-	-	r55	r55	-	-	r55	r55	r55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
98	-	-	-	-	-	-	-	-	-	-	-	-	-	r56	r56	-	-	r56	r56	r56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
99	-	-	-	-	-	-	-	-	-	-	-	-	-	r57	r57	-	-	r57	r57	r57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
100	-	-	-	-	-	-	-	-	-	-	-	-	-	r58	r58	-	-	r58	r58	r58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
101	-	-	-	-	-	-	-	-	-	-	-	-	-	r59	r59	-	-	r59	r59	r59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
102	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	80	-	-	-	-	-	-	-	113	-	-	-	-	-	-	-	-
103	-	-	-	-	-	-	-	-	s114	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
104	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	acc	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
105	r31	-	-	-	-	-	-	-	-	r31	r31	r31	r31	r31	r31	-	-	r31	r31	r31	-	r31	-	-	-	-	-	-	-	-	-	-	-	-	r31	r31	-	-	-	-	-	-	-	-	r31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
106	-	-	-	-	-	-	-	s115	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
107	-	-	-	s116	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
108	-	-	-	r63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
109	-	-	-	r64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s117	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
110	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	119	-	-	-	-	-	-	-	-	118	-	-	-	-	-	-	-	-	-	-	-	-
111	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	120	27	28	-	-	-	-	29	30	-	-	-	32	33	-
112	-	-	-	r53	-	-	-	r53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
113	-	-	-	r47	-	-	-	r47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r47	r47	r47	r47	r47	r47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
114	r3	-	-	-	-	-	-	-	-	r3	r3	r3	r3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
115	r32	-	-	r32	-	-	-	-	-	r32	r32	r32	r32	r32	-	-	-	-	-	-	-	r32	-	-	-	-	-	-	-	-	-	-	-	-	r32	r32	-	-	-	-	-	-	-	-	r32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
116	-	-	-	-	-	-	-	s122	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s86	s87	s88	s89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	121	-	-	-	-	-	-	-	-	-	-
117	-	-	-	-	-	-	-	-	-	s108	-	-	-	s12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	123
118	-	-	-	s124	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
119	-	-	-	-	-	-	-	-	-	s59	-	-	-	-	-	-	-	-	-	-	-	-	-	s52	s53	s54	s55	s56	-	-	-	-	s57	s58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	125	-	51	-	-	-	-	-	-	-	-	-
120	-	-	-	-	-	-	-	-	s126	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
121	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	80	-	-	-	-	-	-	-	127	-	-	-	-	-	-	-	-
122	r62	-	-	-	-	-	-	-	-	r62	r62	r62	r62	r62	-	-	-	-	-	-	-	r62	-	-	-	-	-	-	-	-	-	-	-	-	r62	r62	-	-	-	-	-	-	-	-	r62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
123	-	-	-	r65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
124	-	-	-	-	s128	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
125	-	-	-	-	-	-	-	-	-	-	-	-	-	s12	s73	-	-	s74	s75	s76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	69	70	71	72	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
126	r50	-	-	-	-	-	-	-	-	r50	r50	r50	r50	r50	-	-	-	-	-	-	-	r50	-	-	-	-	-	-	-	-	-	-	-	-	r50	r50	-	-	-	-	-	-	-	-	r50	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
127	-	-	-	-	-	-	-	s129	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
128	s5	-	-	-	-	-	-	-	-	s26	s6	s7	s8	s12	-	-	-	-	-	-	-	s31	-	-	-	-	-	-	-	-	-	-	-	-	s36	s37	-	-	-	-	-	-	-	-	s38	-	-	-	-	34	35	-	-	-	-	-	-	130	27	28	-	-	-	-	29	30	-	-	-	32	33	-
129	r61	-	-	-	-	-	-	-	-	r61	r61	r61	r61	r61	-	-	-	-	-	-	-	r61	-	-	-	-	-	-	-	-	-	-	-	-	r61	r61	-	-	-	-	-	-	-	-	r61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
130	-	-	-	-	-	-	-	-	s131	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
131	r49	-	-	-	-	-	-	-	-	r49	r49	r49	r49	r49	-	-	-	-	-	-	-	r49	-	-	-	-	-	-	-	-	-	-	-	-	r49	r49	-	-	-	-	-	-	-	-	r49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-

